jobtitle,user_cnt,male_cnt,female_cnt,tac_school_cnt,ctchq_cnt,cfsme_cnt,cfsce_cnt,rcacs_cnt,caawc_cnt,rca_cnt,rcemes_cnt,cateu_cnt,inf_cnt,officer_cnt,ncm_cnt,french_cnt,english_cnt,army_cnt,air_cnt,navy_cnt
ACISS,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,1,1,0
SIGINT,177,160,17,0,0,0,177,0,0,0,0,0,0,0,177,25,152,128,45,4
CRMN,429,397,32,3,11,0,0,413,0,0,0,2,0,0,429,101,328,427,2,0
ENGR,60,53,7,2,6,49,0,0,2,0,0,0,1,60,0,13,47,52,8,0
MAT TECH,29,26,3,0,0,0,0,0,0,0,29,0,0,0,29,8,21,29,0,0
CL DVR,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
VEH TECH,259,233,26,0,1,0,0,0,0,0,258,0,0,0,259,75,184,255,2,2
TFC TECH,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,2,1,3,0,0
DS TECH,5,5,0,0,0,5,0,0,0,0,0,0,0,0,5,1,4,5,0,0
ARMD,170,155,15,3,6,0,0,158,0,0,0,3,0,170,0,40,130,169,0,1
EO TECH,117,107,10,0,0,0,1,0,0,0,116,0,0,0,117,30,87,117,0,0
IS TECH,109,98,11,0,0,0,109,0,0,0,0,0,0,0,109,21,88,82,26,1
SIG OP,151,129,22,0,3,0,146,0,0,1,0,0,1,0,151,37,114,117,28,6
CPO1/CWO CORPS,15,14,1,2,2,2,1,2,1,1,2,0,2,0,15,2,13,14,1,0
SIGS,148,133,15,0,4,0,144,0,0,0,0,0,0,148,0,24,124,108,37,3
ADS TECH,23,22,1,0,0,0,0,0,23,0,0,0,0,0,23,4,19,23,0,0
ATIS TECH,129,118,11,0,0,0,129,0,0,0,0,0,0,0,129,18,111,96,33,0
EME,47,44,3,0,3,0,0,0,0,0,44,0,0,47,0,9,38,46,1,0
CONST ENGR,12,12,0,0,0,12,0,0,0,0,0,0,0,12,0,3,9,11,1,0
TRG DEV,16,11,5,3,6,2,3,1,0,0,1,0,0,16,0,2,14,12,3,1
CELE,29,22,7,0,0,0,29,0,0,0,0,0,0,29,0,7,22,22,6,1
MSE OP,9,9,0,0,1,0,2,0,3,0,1,0,2,0,9,1,8,7,1,1
FSA,26,22,4,0,1,6,4,1,4,4,1,0,5,0,26,10,16,23,3,0
MAT MGT TECH,23,22,1,0,0,3,2,2,9,1,1,0,5,0,23,5,18,22,1,0
PH TECH,13,12,1,0,0,13,0,0,0,0,0,0,0,0,13,3,10,8,5,0
WFE TECH,9,8,1,0,0,9,0,0,0,0,0,0,0,0,9,2,7,8,1,0
CE SUPT,5,5,0,0,0,5,0,0,0,0,0,0,0,0,5,2,3,3,2,0
ARTY,139,125,14,1,2,0,0,0,0,133,0,1,2,139,0,27,112,137,2,0
LOG,23,20,3,4,5,4,1,0,2,2,2,3,0,23,0,2,21,17,4,2
W TECH L,46,45,1,0,0,0,0,0,0,0,46,0,0,0,46,14,32,46,0,0
GEO TECH,4,4,0,2,0,2,0,0,0,0,0,0,0,0,4,1,3,4,0,0
EGS TECH,28,27,1,0,0,28,0,0,0,0,0,0,0,0,28,4,24,24,4,0
CBT ENGR,325,298,27,0,6,298,0,0,5,0,0,9,7,0,325,79,246,256,67,2
LEET,25,23,2,0,0,0,0,0,0,0,23,2,0,0,25,9,16,25,0,0
INF,206,188,18,12,4,3,0,0,13,0,0,0,174,206,0,53,153,197,7,2
IMAGE TECH,21,16,5,11,0,0,0,0,2,0,0,8,0,0,21,5,16,17,3,1
SIG TECH,84,75,9,0,1,0,81,0,1,0,0,1,0,0,84,16,68,61,19,4
ED TECH,16,14,2,0,0,16,0,0,0,0,0,0,0,0,16,5,11,14,2,0
INT OP,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
CONST TECH,17,16,1,0,0,17,0,0,0,0,0,0,0,0,17,1,16,14,3,0
INFTR,307,296,11,2,15,2,29,0,33,0,0,1,225,0,307,94,213,300,7,0
LINE TECH,56,50,6,0,0,0,56,0,0,0,0,0,0,0,56,12,44,46,10,0
HRA,28,28,0,0,0,5,7,6,1,1,6,0,2,0,28,10,18,25,3,0
AWS TECH,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0
GNR,333,314,19,0,5,0,0,0,1,320,0,2,5,0,333,66,267,329,3,1
AMMO TECH,4,4,0,0,1,3,0,0,0,0,0,0,0,0,4,1,3,4,0,0
INT,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
RM TECH,10,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,10,7,3,0
